mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,param_objective,param_reg_alpha,param_seed,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
2.0190286159515383,0.3499837783976274,0.010407066345214844,0.0010141552961532463,0.075,2,200,reg:squarederror,0.001,33,"{'learning_rate': 0.075, 'max_depth': 2, 'n_estimators': 200, 'objective': 'reg:squarederror', 'reg_alpha': 0.001, 'seed': 33}",0.10847651485300697,0.15589078618321214,0.06221095471988039,0.12322578833688758,0.10520376026017425,0.11100156087063225,0.03028196784945738,70
1.470901107788086,0.16090507278120694,0.010929059982299805,0.00320376113543561,0.075,2,200,reg:squarederror,0.01,33,"{'learning_rate': 0.075, 'max_depth': 2, 'n_estimators': 200, 'objective': 'reg:squarederror', 'reg_alpha': 0.01, 'seed': 33}",0.1122866510712365,0.15830310095481256,0.06345010512859442,0.11232003614422448,0.10086213730971294,0.10944440612171617,0.03030726225504517,72
1.940230131149292,0.22838767513552302,0.009991168975830078,0.0005823666112311926,0.075,2,200,reg:squarederror,0.1,33,"{'learning_rate': 0.075, 'max_depth': 2, 'n_estimators': 200, 'objective': 'reg:squarederror', 'reg_alpha': 0.1, 'seed': 33}",0.10763019031453691,0.15257362183637677,0.05701029131136673,0.12497958211260304,0.10677044599356811,0.10979282631369032,0.031178973029224455,71
1.9284107685089111,0.43270508531011753,0.008919286727905273,0.000510676821831027,0.075,2,200,reg:squarederror,1,33,"{'learning_rate': 0.075, 'max_depth': 2, 'n_estimators': 200, 'objective': 'reg:squarederror', 'reg_alpha': 1, 'seed': 33}",0.11997994053220867,0.15381178054704464,0.06832462530906588,0.12536183896490918,0.11400364199292445,0.11629636546923057,0.027603269148197964,66
2.217384910583496,0.726103712815388,0.009394407272338867,0.0008707701808800431,0.075,2,200,reg:squarederror,10,33,"{'learning_rate': 0.075, 'max_depth': 2, 'n_estimators': 200, 'objective': 'reg:squarederror', 'reg_alpha': 10, 'seed': 33}",0.14732089205422264,0.17823761462903145,0.08124827489639613,0.15704710996156102,0.13083155148933956,0.13893708860611015,0.03266953118309235,48
3.672485017776489,1.1908146900356944,0.010871791839599609,0.003046857466846883,0.075,2,300,reg:squarederror,0.001,33,"{'learning_rate': 0.075, 'max_depth': 2, 'n_estimators': 300, 'objective': 'reg:squarederror', 'reg_alpha': 0.001, 'seed': 33}",0.12107383958748333,0.1628171662281787,0.052921510982736925,0.11506824650329048,0.11953648792849272,0.11428345024603644,0.03519979793878156,68
4.789218902587891,1.0724404555023934,0.00992598533630371,0.0007166769943350455,0.075,2,300,reg:squarederror,0.01,33,"{'learning_rate': 0.075, 'max_depth': 2, 'n_estimators': 300, 'objective': 'reg:squarederror', 'reg_alpha': 0.01, 'seed': 33}",0.12233092537149903,0.16936267552382564,0.0555937622280091,0.11202335558477675,0.1169477719952941,0.11525169814068095,0.036195252481737925,67
3.7701988697052,0.4141171538738794,0.010222864151000977,0.0017593030693910405,0.075,2,300,reg:squarederror,0.1,33,"{'learning_rate': 0.075, 'max_depth': 2, 'n_estimators': 300, 'objective': 'reg:squarederror', 'reg_alpha': 0.1, 'seed': 33}",0.12202278948777975,0.15544495986875909,0.04484072817261711,0.1178792594368552,0.1163825335539832,0.11131405410399886,0.03619311625852401,69
4.01629376411438,0.7022591155129554,0.009808826446533202,0.0017127418389029324,0.075,2,300,reg:squarederror,1,33,"{'learning_rate': 0.075, 'max_depth': 2, 'n_estimators': 300, 'objective': 'reg:squarederror', 'reg_alpha': 1, 'seed': 33}",0.1326110234153843,0.16879582846753413,0.06503242387047772,0.12872360888604528,0.12136923085735604,0.1233064230993595,0.03342100893015872,55
3.985556411743164,0.6293934472371022,0.0104766845703125,0.0016460320460268364,0.075,2,300,reg:squarederror,10,33,"{'learning_rate': 0.075, 'max_depth': 2, 'n_estimators': 300, 'objective': 'reg:squarederror', 'reg_alpha': 10, 'seed': 33}",0.16108936048708777,0.19079673478793618,0.08564830629978784,0.16530477523325202,0.14222902985258248,0.14901364133212927,0.035265415274230674,47
6.306596565246582,0.6299928264113989,0.009177494049072265,0.001351373520274933,0.075,2,500,reg:squarederror,0.001,33,"{'learning_rate': 0.075, 'max_depth': 2, 'n_estimators': 500, 'objective': 'reg:squarederror', 'reg_alpha': 0.001, 'seed': 33}",0.13860629091082896,0.16716501256759955,0.03968734481856129,0.11487145581821379,0.13589602427467654,0.11924522567797602,0.0431207425400644,63
6.223666095733643,0.9380355197094109,0.01017756462097168,0.0006555787376013999,0.075,2,500,reg:squarederror,0.01,33,"{'learning_rate': 0.075, 'max_depth': 2, 'n_estimators': 500, 'objective': 'reg:squarederror', 'reg_alpha': 0.01, 'seed': 33}",0.13620155628226907,0.17283940633425385,0.05241484593853682,0.11402700818651665,0.13069589191270478,0.12123574173085624,0.03940733379491928,57
7.21252031326294,0.8350989448651945,0.00986180305480957,0.0017816685746555503,0.075,2,500,reg:squarederror,0.1,33,"{'learning_rate': 0.075, 'max_depth': 2, 'n_estimators': 500, 'objective': 'reg:squarederror', 'reg_alpha': 0.1, 'seed': 33}",0.1324042201361267,0.1693387903158956,0.035611441901289814,0.12165691436596532,0.1314722722685773,0.11809672779757097,0.0443302511065268,65
