2,7,10
"[21.871764874314394, 22.50508490246867, 22.960477753329585]","[20.882874699240716, 21.521957292782098, 21.431275654663157]","[21.001041886818793, 21.67672024237653, 21.877366622336734]"
"[28.90163732885074, 28.525617493969527, 27.7230475907012]","[27.23670658832318, 25.635178695580628, 25.326080773242616]","[29.81440036897879, 28.82098882689731, 28.744166810673565]"
"[249.3167011871559, 229.8038568767312, 216.6507530938936]","[207.70246272507754, 183.05435371508105, 178.80856724036408]","[214.2410599334409, 193.49082593443367, 191.73503281423623]"
"[4.347774758982779, 4.418160768794592, 4.485682889038912]","[4.739956459920028, 4.72024745793928, 4.710619052390784]","[5.028758358575562, 4.983473166295773, 4.970519030876921]"
